iter	RMSE
0	15.11587311
1	14.43238302
2	13.77409425
3	13.11830202
4	12.47052344
5	11.85509378
6	11.29016836
7	10.73375199
8	10.2294744
9	9.750191944
10	9.296191649
11	8.847347262
12	8.430750413
13	8.036808834
14	7.643966771
15	7.295775381
16	6.959574232
17	6.640856164
18	6.320980976
19	6.033959797
20	5.744615063
21	5.496363588
22	5.246388975
23	4.998860442
24	4.780690899
25	4.557373453
26	4.344948081
27	4.144505909
28	3.960798792
29	3.782378366
30	3.610882078
31	3.45173005
32	3.310485302
33	3.174784785
34	3.038767527
35	2.90591171
36	2.794248411
37	2.675776449
38	2.565712524
39	2.468018737
40	2.36451168
41	2.270933303
42	2.180468431
43	2.091204333
44	2.009868095
45	1.934827388
46	1.861532184
47	1.798125773
48	1.735208695
49	1.673842319
50	1.61564333
51	1.561146337
52	1.512813283
53	1.467087684
54	1.419307851
55	1.377475335
56	1.336077987
57	1.297293247
58	1.261023543
59	1.229212169
60	1.198575388
61	1.169272017
62	1.140664089
63	1.11076526
64	1.085919298
65	1.061164433
66	1.037891471
67	1.016141628
68	0.9953311832
69	0.9771095676
70	0.9612621225
71	0.944771765
72	0.926978702
73	0.9115694833
74	0.8970046118
75	0.8789656322
76	0.8624393933
77	0.8466231429
78	0.8318791104
79	0.8175111641
80	0.8029417767
81	0.7893567763
82	0.7778131662
83	0.7655456789
84	0.7535092386
85	0.7429625955
86	0.7322296198
87	0.7227839993
88	0.7126429872
89	0.7024991877
90	0.692013036
91	0.6833956335
92	0.6737215178
93	0.6669792372
94	0.659642141
95	0.6526513208
96	0.6457082966
97	0.6368683848
98	0.6315338007
99	0.6247977895
100	0.6195324738
101	0.6120441602
102	0.6065689665
103	0.6019167361
104	0.5945852988
105	0.5900611856
106	0.5853739176
107	0.5795231663
108	0.5755260006
109	0.5699510051
110	0.5657709527
111	0.5619533315
112	0.5585263674
113	0.5551690077
114	0.5509844826
115	0.5469777046
116	0.5427953201
117	0.5377498803
118	0.5344171272
119	0.5324469763
120	0.52910247
121	0.5255453377
122	0.5224333008
123	0.5196823473
124	0.5172026278
125	0.5151520698
126	0.51256608
127	0.5103405369
128	0.5074416707
129	0.5056521134
130	0.5036787211
131	0.5012855281
132	0.4989723042
133	0.4960135727
134	0.4944929861
135	0.4931045026
136	0.4910316773
137	0.4889960062
138	0.4868634049
139	0.4847996443
140	0.4827435052
141	0.4814011974
142	0.478438133
143	0.4757585194
144	0.4739485126
145	0.4719931476
146	0.4701967172
147	0.4685075641
148	0.4661115859
149	0.4642044753
150	0.4622425137
151	0.4596731221
152	0.4582253503
153	0.4561346678
154	0.4544257846
155	0.4532168449
156	0.450783964
157	0.4494649315
158	0.4482557515
159	0.4463724887
160	0.4450230864
161	0.4437389554
162	0.442706799
163	0.4417265972
164	0.439115924
165	0.4378747078
166	0.4366030087
167	0.4354915111
168	0.4341749043
169	0.4333227473
170	0.4321426616
171	0.4311760952
172	0.4292640642
173	0.4283238901
174	0.427096574
175	0.4255881897
176	0.4249145934
177	0.4222528505
178	0.4214257323
179	0.4193536261
180	0.4187341824
181	0.4166311185
182	0.4152200105
183	0.4141193082
184	0.4123140983
185	0.4104182953
186	0.4091248405
187	0.4071580918
188	0.4059000857
189	0.40524419
190	0.404377085
191	0.4029809704
192	0.4019347062
193	0.4008113911
194	0.399617419
195	0.3978474768
196	0.3971111966
197	0.3961862754
198	0.3947853683
