iter	Passed	Remaining
0	22	22652
1	43	21655
2	71	23833
3	93	23335
4	99	19709
5	103	17188
6	127	18030
7	131	16357
8	157	17328
9	179	17803
10	204	18398
11	216	17842
12	239	18162
13	266	18749
14	270	17773
15	293	18046
16	319	18487
17	342	18708
18	353	18247
19	376	18443
20	385	17957
21	409	18188
22	432	18358
23	443	18047
24	466	18202
25	478	17924
26	507	18275
27	520	18067
28	540	18092
29	555	17966
30	566	17715
31	586	17730
32	610	17882
33	633	18007
34	654	18041
35	666	17834
36	688	17923
37	704	17834
38	728	17940
39	749	17999
40	754	17641
41	775	17696
42	790	17593
43	802	17425
44	824	17500
45	848	17596
46	856	17367
47	878	17421
48	900	17481
49	918	17443
50	922	17168
51	944	17226
52	968	17309
53	998	17491
54	1019	17521
55	1051	17718
56	1067	17654
57	1093	17766
58	1120	17866
59	1144	17924
60	1168	17984
61	1194	18068
62	1219	18142
63	1231	18010
64	1256	18080
65	1280	18124
66	1307	18201
67	1334	18292
68	1360	18355
69	1389	18465
70	1415	18517
71	1436	18517
72	1465	18611
73	1484	18572
74	1512	18659
75	1540	18734
76	1568	18807
77	1598	18894
78	1622	18917
79	1647	18949
80	1671	18965
81	1689	18915
82	1712	18922
83	1737	18949
84	1760	18948
85	1785	18977
86	1810	19001
87	1832	18990
88	1856	19003
89	1879	19005
90	1904	19019
91	1933	19079
92	1955	19074
93	1972	19011
94	1997	19028
95	2023	19050
96	2049	19076
97	2073	19081
98	2097	19090
99	2121	19094
100	2140	19055
101	2163	19048
102	2189	19067
103	2214	19075
104	2238	19077
105	2263	19093
106	2287	19091
107	2314	19114
108	2338	19112
109	2363	19123
110	2389	19136
111	2413	19132
112	2438	19140
113	2463	19143
114	2486	19137
115	2512	19150
116	2535	19137
117	2559	19134
118	2585	19141
119	2608	19132
120	2633	19128
121	2657	19123
122	2680	19110
123	2712	19163
124	2737	19165
125	2762	19162
126	2788	19168
127	2812	19161
128	2836	19152
129	2862	19153
130	2886	19149
131	2912	19151
132	2936	19140
133	2961	19137
134	2987	19142
135	3011	19128
136	3034	19117
137	3060	19116
138	3087	19123
139	3112	19120
140	3136	19106
141	3160	19094
142	3185	19093
143	3210	19082
144	3234	19073
145	3259	19067
146	3283	19054
147	3310	19055
148	3333	19036
149	3355	19016
150	3380	19009
151	3404	18991
152	3428	18977
153	3453	18971
154	3477	18958
155	3503	18954
156	3527	18941
157	3551	18926
158	3579	18931
159	3604	18924
160	3629	18916
161	3654	18904
162	3678	18889
163	3704	18881
164	3728	18869
165	3753	18855
166	3778	18848
167	3802	18832
168	3827	18820
169	3852	18807
170	3875	18790
171	3901	18779
172	3924	18760
173	3948	18741
174	3975	18741
175	4001	18733
176	4025	18719
177	4053	18720
178	4079	18713
179	4107	18712
180	4133	18702
181	4161	18703
182	4193	18722
183	4222	18724
184	4251	18728
185	4277	18720
186	4302	18705
187	4327	18692
188	4351	18673
189	4378	18664
190	4402	18647
191	4427	18631
192	4451	18615
193	4476	18598
194	4503	18589
195	4527	18571
196	4550	18548
197	4576	18537
198	4599	18514
199	4624	18497
200	4649	18480
201	4674	18466
202	4701	18456
203	4725	18437
204	4749	18420
205	4775	18405
206	4801	18392
207	4825	18372
208	4849	18352
209	4873	18333
210	4898	18316
211	4921	18293
212	4946	18277
213	4971	18261
214	4996	18242
215	5021	18225
216	5045	18205
217	5070	18188
218	5098	18183
219	5123	18163
220	5146	18141
221	5172	18127
222	5199	18116
223	5225	18101
224	5249	18081
225	5275	18066
226	5301	18051
227	5325	18032
228	5350	18015
229	5377	18001
230	5401	17982
231	5426	17963
232	5450	17943
233	5476	17928
234	5501	17910
235	5527	17892
236	5552	17874
237	5577	17856
238	5602	17838
239	5627	17820
240	5652	17800
241	5676	17780
242	5702	17763
243	5726	17743
244	5751	17723
245	5776	17704
246	5800	17682
247	5825	17663
248	5850	17644
249	5875	17626
250	5899	17604
251	5923	17583
252	5949	17564
253	5972	17540
254	5997	17522
255	6022	17501
256	6045	17477
257	6074	17468
258	6098	17448
259	6122	17426
260	6146	17402
261	6170	17382
262	6194	17359
263	6218	17336
264	6241	17311
265	6266	17291
266	6290	17269
267	6314	17247
268	6337	17221
269	6361	17199
270	6387	17182
271	6409	17155
272	6431	17127
273	6454	17101
274	6476	17075
275	6502	17057
276	6527	17036
277	6549	17010
278	6573	16987
279	6598	16968
280	6622	16945
281	6646	16922
282	6673	16907
283	6697	16886
284	6722	16866
285	6748	16847
286	6775	16833
287	6800	16812
288	6825	16792
289	6853	16778
290	6878	16758
291	6905	16742
292	6930	16721
293	6952	16696
294	6978	16677
295	7001	16651
296	7025	16628
297	7049	16606
298	7072	16582
299	7098	16562
300	7125	16547
301	7150	16527
302	7175	16506
303	7198	16481
304	7222	16458
305	7260	16466
306	7285	16445
307	7309	16422
308	7332	16396
309	7356	16374
310	7381	16353
311	7407	16334
312	7432	16312
313	7455	16288
314	7479	16263
315	7506	16247
316	7532	16229
317	7556	16205
318	7580	16181
319	7603	16157
320	7627	16133
321	7653	16115
322	7680	16097
323	7702	16071
324	7727	16049
325	7750	16024
326	7775	16002
327	7799	15978
328	7822	15954
329	7847	15933
330	7872	15911
331	7895	15885
332	7919	15861
333	7942	15836
334	7965	15813
335	7989	15788
336	8012	15764
337	8037	15741
338	8061	15718
339	8084	15693
340	8108	15670
341	8130	15643
342	8153	15618
343	8182	15603
344	8206	15580
345	8232	15560
346	8262	15548
347	8288	15529
348	8316	15512
349	8342	15493
350	8366	15469
351	8390	15446
352	8413	15420
353	8437	15397
354	8461	15373
355	8483	15346
356	8507	15323
357	8530	15298
358	8555	15276
359	8579	15252
360	8603	15228
361	8627	15204
362	8653	15184
363	8678	15162
364	8701	15138
365	8724	15113
366	8747	15088
367	8774	15069
368	8797	15044
369	8820	15019
370	8845	14997
371	8870	14974
372	8893	14949
373	8917	14926
374	8941	14901
375	8974	14893
376	8998	14870
377	9023	14848
378	9048	14825
379	9071	14800
380	9096	14779
381	9121	14756
382	9143	14730
383	9186	14736
384	9210	14712
385	9234	14689
386	9260	14667
387	9283	14642
388	9306	14618
389	9330	14593
390	9354	14570
391	9380	14549
392	9403	14524
393	9427	14500
394	9451	14476
395	9473	14448
396	9495	14423
397	9519	14398
398	9544	14376
399	9568	14353
400	9591	14327
401	9615	14303
402	9638	14278
403	9662	14254
404	9685	14229
405	9709	14205
406	9732	14180
407	9757	14158
408	9781	14134
409	9805	14110
410	9829	14086
411	9854	14063
412	9876	14038
413	9901	14014
414	9924	13990
415	9950	13968
416	9975	13946
417	9999	13922
418	10023	13899
419	10049	13877
420	10073	13853
421	10099	13832
422	10123	13808
423	10148	13786
424	10172	13762
425	10211	13758
426	10236	13736
427	10261	13714
428	10288	13693
429	10312	13670
430	10338	13649
431	10362	13624
432	10385	13599
433	10409	13576
434	10434	13553
435	10459	13529
436	10481	13503
437	10504	13478
438	10528	13454
439	10552	13430
440	10576	13406
441	10598	13380
442	10624	13359
443	10650	13337
444	10675	13313
445	10699	13290
446	10723	13265
447	10747	13242
448	10770	13217
449	10794	13193
450	10818	13168
451	10842	13145
452	10866	13121
453	10890	13097
454	10929	13091
455	10955	13069
456	10979	13045
457	11002	13020
458	11026	12995
459	11050	12971
460	11074	12948
461	11099	12925
462	11125	12903
463	11151	12882
464	11175	12857
465	11200	12834
466	11224	12811
467	11249	12788
468	11274	12765
469	11298	12741
470	11323	12718
471	11348	12695
472	11372	12671
473	11397	12647
474	11422	12624
475	11447	12601
476	11474	12581
477	11500	12558
478	11526	12536
479	11556	12519
480	11580	12495
481	11607	12474
482	11633	12452
483	11658	12429
484	11683	12405
485	11706	12381
486	11731	12358
487	11755	12333
488	11779	12309
489	11804	12286
490	11828	12261
491	11851	12236
492	11876	12214
493	11900	12189
494	11925	12166
495	11950	12143
496	11973	12118
497	11997	12094
498	12020	12068
499	12043	12043
500	12067	12019
501	12093	11997
502	12120	11975
503	12148	11955
504	12172	11931
505	12196	11907
506	12220	11882
507	12243	11857
508	12267	11833
509	12291	11809
510	12315	11785
511	12341	11763
512	12366	11739
513	12390	11715
514	12416	11693
515	12441	11669
516	12466	11646
517	12490	11622
518	12513	11596
519	12539	11574
520	12562	11550
521	12588	11527
522	12613	11504
523	12641	11483
524	12667	11461
525	12692	11437
526	12716	11413
527	12740	11389
528	12763	11364
529	12790	11342
530	12816	11320
531	12840	11296
532	12865	11272
533	12890	11248
534	12914	11224
535	12941	11203
536	12964	11178
537	12989	11154
538	13014	11130
539	13037	11105
540	13062	11082
541	13086	11058
542	13112	11035
543	13138	11013
544	13162	10988
545	13187	10965
546	13212	10941
547	13236	10917
548	13262	10894
549	13289	10873
550	13315	10850
551	13339	10826
552	13364	10802
553	13390	10779
554	13415	10756
555	13440	10732
556	13464	10708
557	13488	10684
558	13510	10658
559	13537	10636
560	13561	10612
561	13588	10590
562	13617	10569
563	13646	10549
564	13674	10527
565	13698	10504
566	13725	10481
567	13749	10457
568	13775	10434
569	13800	10410
570	13824	10386
571	13850	10363
572	13874	10339
573	13899	10315
574	13925	10292
575	13950	10268
576	13975	10245
577	13998	10220
578	14024	10197
579	14049	10173
580	14072	10148
581	14097	10124
582	14122	10101
583	14146	10077
