iter	RMSE
0	0.8363248768
1	0.8122118207
2	0.7903889779
3	0.77094635
4	0.7501251131
5	0.7324094812
6	0.7168153045
7	0.7021866032
8	0.6874284613
9	0.6737172506
10	0.6604770939
11	0.6475611534
12	0.636515416
13	0.6259327533
14	0.6153547504
15	0.6055641687
16	0.5969613428
17	0.5881987544
18	0.5810500583
19	0.5724990524
20	0.5650145413
21	0.5573800377
22	0.5504106087
23	0.5432243069
24	0.537418333
25	0.5310952872
26	0.5262994227
27	0.5206026816
28	0.5151921522
29	0.5102653492
30	0.5061526151
31	0.5013433237
32	0.4979401019
33	0.4943690924
34	0.4905420673
35	0.4876566655
36	0.4842722815
37	0.4817412701
38	0.4789513241
39	0.4753963919
40	0.4725043965
41	0.4703281285
42	0.4681873946
43	0.465723881
44	0.4632296834
45	0.4609207069
46	0.458589183
47	0.455976029
48	0.4534422108
49	0.4516502951
50	0.4495565532
51	0.447346784
52	0.4457944633
53	0.4442519176
54	0.4422048562
55	0.4407690173
56	0.4390658009
57	0.4372999072
58	0.4357901443
59	0.434451164
60	0.4331610983
61	0.4319618581
62	0.4307887007
63	0.4293708769
64	0.4282177892
65	0.4272955539
66	0.4259919357
67	0.4242787665
68	0.422833919
69	0.422077459
70	0.4214247814
71	0.4202244047
72	0.4193212296
73	0.4184120499
74	0.417470744
75	0.4160885156
76	0.4157274041
77	0.4148350103
78	0.4138180048
79	0.4130397684
80	0.4122352808
81	0.4115263813
82	0.4109442256
83	0.4105309576
84	0.4097752546
85	0.4090596132
86	0.4084721844
87	0.4078352758
88	0.4072526735
89	0.4064358318
90	0.4059886689
91	0.4053795925
92	0.4042159197
93	0.4037607054
94	0.4033569787
95	0.4027772472
96	0.4022074057
97	0.4017960731
98	0.4014047163
99	0.4007850026
100	0.4002860881
101	0.3999600549
102	0.3997369324
103	0.3988301016
104	0.3984539961
105	0.3981842567
106	0.3975735486
107	0.3969079523
108	0.3964145387
109	0.3959332563
110	0.3956465503
111	0.3951585837
112	0.3947027007
113	0.3939321278
114	0.3937018421
115	0.3935453591
116	0.3930124295
117	0.3923841996
118	0.3920946974
119	0.3918818335
120	0.3914440745
121	0.3908900626
122	0.3905691029
123	0.3903933796
124	0.3902239257
125	0.3892271438
126	0.388773073
127	0.3884991125
128	0.3882052775
129	0.3875898786
130	0.3871806713
131	0.3867748071
132	0.3862196915
133	0.3858796701
134	0.385518315
135	0.3851206276
136	0.3848594752
137	0.3846094336
138	0.3835931459
139	0.3830268626
140	0.3827450873
141	0.3821736938
142	0.3819724956
143	0.3816902496
144	0.3813116151
145	0.381070973
146	0.3807474836
147	0.3801191838
148	0.3793156584
149	0.3790665273
150	0.3788926933
151	0.3787930645
152	0.3786657845
153	0.3777295552
154	0.3775123492
155	0.3771247638
156	0.3769134745
157	0.3765700424
158	0.3763029265
159	0.3758499341
160	0.3757313537
161	0.3750980447
162	0.3747881782
163	0.3747221826
164	0.3742888522
165	0.3740782868
166	0.3739299554
167	0.3737829278
168	0.373279928
169	0.3730187745
170	0.3723096217
171	0.3721283282
172	0.3715931004
173	0.3712001624
174	0.3707346763
175	0.3704441623
176	0.3699681218
177	0.3696403156
178	0.3689019888
179	0.368420507
180	0.3682604496
181	0.3675937437
182	0.3674086928
183	0.3668130663
184	0.3661810598
185	0.3660228526
186	0.3658123461
187	0.3656452896
188	0.3653225084
189	0.3648671134
190	0.3646058385
191	0.3641795074
192	0.3639871951
193	0.363309737
194	0.3628334718
195	0.3619994081
196	0.3618658107
197	0.3616372494
198	0.3614140729
199	0.3611834219
200	0.3604426581
201	0.3599474281
202	0.3595453244
203	0.3592353968
204	0.358485739
205	0.3578678688
206	0.3574303215
207	0.3569946394
208	0.3567411171
209	0.3563912372
