iter	Passed	Remaining
0	176	176334
1	223	111651
2	262	87106
3	293	73200
4	327	65221
5	360	59704
6	394	56013
7	414	51439
8	446	49167
9	478	47373
10	513	46143
11	546	44955
12	573	43519
13	604	42590
14	636	41821
15	669	41150
16	701	40575
17	734	40060
18	767	39640
19	801	39270
20	836	38980
21	868	38597
22	895	38052
23	927	37730
24	960	37452
25	991	37152
26	1035	37324
27	1074	37310
28	1109	37158
29	1144	36997
30	1176	36777
31	1207	36541
32	1239	36328
33	1271	36134
34	1304	35976
35	1336	35793
36	1358	35350
37	1389	35168
38	1421	35032
39	1453	34892
40	1488	34813
41	1521	34707
42	1557	34671
43	1590	34550
44	1621	34406
45	1653	34290
46	1684	34164
47	1715	34029
48	1749	33959
49	1781	33843
50	1812	33735
51	1845	33641
52	1877	33555
53	1910	33469
54	1943	33386
55	1975	33293
56	2008	33221
57	2038	33114
58	2070	33026
59	2101	32927
60	2135	32874
61	2168	32803
62	2201	32735
63	2234	32676
64	2268	32632
65	2301	32574
66	2317	32269
67	2347	32171
68	2379	32102
69	2414	32076
70	2448	32037
71	2479	31957
72	2509	31864
73	2541	31808
74	2572	31724
75	2604	31667
76	2637	31615
77	2670	31567
78	2702	31510
79	2735	31462
80	2767	31400
81	2798	31326
82	2828	31245
83	2859	31182
84	2892	31132
85	2941	31259
86	2974	31215
87	3008	31176
88	3043	31154
89	3077	31118
90	3112	31088
91	3144	31030
92	3173	30954
93	3209	30934
94	3242	30888
95	3276	30849
96	3308	30802
97	3342	30765
98	3366	30635
99	3401	30609
100	3435	30583
101	3469	30549
102	3502	30503
103	3534	30453
104	3565	30392
105	3597	30340
106	3630	30300
107	3663	30258
108	3697	30224
109	3731	30194
110	3766	30162
111	3800	30133
112	3833	30091
113	3868	30064
114	3903	30041
115	3944	30059
116	3977	30021
117	4013	29997
118	4048	29969
119	4080	29925
120	4112	29877
121	4164	29967
122	4189	29870
123	4207	29725
124	4253	29773
125	4290	29758
126	4323	29723
127	4357	29685
128	4389	29638
129	4425	29614
130	4459	29579
131	4491	29534
132	4524	29493
133	4557	29456
134	4588	29402
135	4622	29365
136	4656	29333
137	4689	29292
138	4722	29251
139	4756	29218
140	4790	29182
141	4824	29151
142	4871	29197
143	4919	29243
144	4947	29175
