ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
120082-1262,İkizçay,Edremit,Balıkesir,9.250.000 TL,150,115,3 + 1,1,1 Katlı,,24 Yaşında,Klima,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Batı",,https://www.hepsiemlak.com/balikesir-edremit-ikizcay-satilik/villa/120082-1262
70496-3136,Efeler,Didim,Aydın,7.200.000 TL,180,100,3 + 1,2,2 Katlı,1. Kat,15 Yaşında,Klima,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney",1.000 TL,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/daire/70496-3136
169654-7,Turgutlar,Turgutlu,Manisa,3.700.000 TL,130,119,3 + 1,1,4 Katlı,En Üst Kat,8 Yaşında,Kombi,Eşyalı Değil,,Kat Mülkiyeti,Güney,1 TL,https://www.hepsiemlak.com/manisa-turgutlu-turgutlar-satilik/daire/169654-7
124024-632,Camikebir,Seferihisar,İzmir,8.250.000 TL,220,180,3 + 1,3,4 Katlı,4. Kat,3 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Doğu, Batı",500 TL,https://www.hepsiemlak.com/izmir-seferihisar-camikebir-satilik/daire/124024-632
111753-2679,Cumhuriyet,Beylikdüzü,İstanbul,4.200.000 TL,145,130,3 + 1,2,10 Katlı,4. Kat,9 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-satilik/daire/111753-2679
111753-2696,Güzelyurt,Esenyurt,İstanbul,3.500.000 TL,110,100,2 + 1,1,5 Katlı,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/111753-2696
104775-6023,Fahri Korutürk,Mamak,Ankara,3.199.000 TL,110,105,2 + 1,1,3 Katlı,Yüksek Giriş,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",150 TL,https://www.hepsiemlak.com/ankara-mamak-fahri-koruturk-satilik/daire/104775-6023
124996-603,Güzelçamlı,Kuşadası,Aydın,15.250.000 TL,192,110,3 + 1,2,2 Katlı,,2 Yaşında,Yerden Isıtma,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",2.500 TL,https://www.hepsiemlak.com/aydin-kusadasi-guzelcamli-satilik/villa/124996-603
165223-133,Güzelyurt,Esenyurt,İstanbul,4.850.000 TL,100,90,2 + 1,1,5 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/165223-133
165223-132,Mevlana,Esenyurt,İstanbul,2.300.000 TL,100,95,2 + 1,1,3 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-mevlana-satilik/daire/165223-132
168870-20,Ören,Milas,Muğla,6.950.000 TL,75,70,2 + 1,1,1 Katlı,1. Kat,3 Yaşında,Klima,Eşyalı,Boş,Kat Mülkiyeti,Doğu,1 TL,https://www.hepsiemlak.com/mugla-milas-oren-satilik/daire/168870-20
160865-5,Akşemsettin,Mamak,Ankara,13.500.000 TL,222,205,4 + 1,3,23 Katlı,20. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kooperatiften H...,Kuzey,,https://www.hepsiemlak.com/ankara-mamak-aksemsettin-satilik/daire/160865-5
2168-2340,Bosna Hersek,Selçuklu,Konya,3.200.000 TL,125,105,3 + 1,1,3 Katlı,3. Kat,10 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Batı",500 TL,https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-satilik/daire/2168-2340
148194-195,Celal Bayar,Çeşme,İzmir,65.000.000 TL,150,120,2 + 1,1,10 Katlı,3. Kat,1 Yaşında,VRV,Eşyalı,Mülk Sahibi,Hisseli Tapu,"Kuzey, Güney",,https://www.hepsiemlak.com/izmir-cesme-celal-bayar-satilik/daire/148194-195
54537-3948,Aziziye,Karasu,Sakarya,1.500.000 TL,85,75,2 + 1,1,3 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/sakarya-karasu-aziziye-satilik/daire/54537-3948
137998-275,Adnan Kahveci,Beylikdüzü,İstanbul,7.430.000 TL,150,145,3 + 1,2,5 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-275
137998-333,Kavaklı,Beylikdüzü,İstanbul,4.699.000 TL,125,115,2 + 1,2,4 Katlı,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Yabancıdan,"Güney, Doğu",2.500 TL,https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-satilik/daire/137998-333
137998-328,Adnan Kahveci,Beylikdüzü,İstanbul,7.600.000 TL,155,140,3 + 1,2,3 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-328
137998-292,Adnan Kahveci,Beylikdüzü,İstanbul,5.320.000 TL,120,100,2 + 1,1,3 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-292
137998-315,Adnan Kahveci,Beylikdüzü,İstanbul,5.400.000 TL,100,85,2 + 1,2,3 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-315
49109-4178,Güzelçamlı,Kuşadası,Aydın,4.250.000 TL,120,100,3 + 1,1,4 Katlı,4. Kat,18 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",250 TL,https://www.hepsiemlak.com/aydin-kusadasi-guzelcamli-satilik/daire/49109-4178
160488-187,Tepeköy,Torbalı,İzmir,2.890.000 TL,110,100,2 + 1,1,4 Katlı,2. Kat,16 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,200 TL,https://www.hepsiemlak.com/izmir-torbali-tepekoy-satilik/daire/160488-187
